x,y,species_1 cloglog values
1.0,1.0,0.62008566
2.0,2.0,0.6630217
3.0,3.0,0.67875683
4.0,4.0,0.70337844
5.0,5.0,0.4809421
6.0,6.0,0.51221246
7.0,7.0,0.51010686
8.0,8.0,0.66807365
9.0,9.0,0.5173291
10.0,10.0,0.52654105
11.0,11.0,0.68290323
12.0,12.0,0.5613392
13.0,13.0,0.5144929
14.0,14.0,0.5686505
15.0,15.0,0.47837695
16.0,16.0,0.8255069
17.0,17.0,0.5942803
18.0,18.0,0.41655895
19.0,19.0,0.6346298
20.0,20.0,0.5504316
21.0,21.0,0.6981892
22.0,22.0,0.6906176
23.0,23.0,0.6323031
24.0,24.0,0.6564512
25.0,25.0,0.57933897
26.0,26.0,0.44238394
27.0,27.0,0.545634
28.0,28.0,0.6703092
29.0,29.0,0.45277387
30.0,30.0,0.6841949
31.0,31.0,0.45670295
32.0,32.0,0.50797063
33.0,33.0,0.6008669
34.0,34.0,0.65092355
35.0,35.0,0.70559883
36.0,36.0,0.7001112
37.0,37.0,0.68167394
38.0,38.0,0.6853274
39.0,39.0,0.50789857
40.0,40.0,0.58496106
41.0,41.0,0.6979496
42.0,42.0,0.5508542
43.0,43.0,0.6957265
44.0,44.0,0.68351156
45.0,45.0,0.44971758
46.0,46.0,0.68245304
47.0,47.0,0.5734333
48.0,48.0,0.6832398
49.0,49.0,0.6717805
50.0,50.0,0.45019618
51.0,51.0,0.6826473
52.0,52.0,0.6749699
53.0,53.0,0.43373725
54.0,54.0,0.46149415
55.0,55.0,0.44580302
56.0,56.0,0.6066431
57.0,57.0,0.44657633
58.0,58.0,0.6710976
59.0,59.0,0.57183915
60.0,60.0,0.5670361
61.0,61.0,0.55628157
62.0,62.0,0.6563257
63.0,63.0,0.6670893
64.0,64.0,0.5605335
65.0,65.0,0.5967275
66.0,66.0,0.4714812
67.0,67.0,0.5064077
68.0,68.0,0.67611283
69.0,69.0,0.7012185
70.0,70.0,0.53636104
71.0,71.0,0.5824797
72.0,72.0,0.47734225
73.0,73.0,0.52103585
74.0,74.0,0.5051823
75.0,75.0,0.54945487
76.0,76.0,0.67304873
77.0,77.0,0.5605037
78.0,78.0,0.5900869
79.0,79.0,0.59807426
80.0,80.0,0.43988982
81.0,81.0,0.44323632
82.0,82.0,0.4840204
83.0,83.0,0.48304096
84.0,84.0,0.5082339
85.0,85.0,0.5282568
86.0,86.0,0.6677569
87.0,87.0,0.5009503
88.0,88.0,0.6282511
89.0,89.0,0.70498204
90.0,90.0,0.5221297
91.0,91.0,0.68043315
92.0,92.0,0.6637653
93.0,93.0,0.6685623
94.0,94.0,0.65786546
95.0,95.0,0.71640646
96.0,96.0,0.5004443
97.0,97.0,0.65626585
98.0,98.0,0.6815516
99.0,99.0,0.48771334
100.0,100.0,0.50298685
101.0,101.0,0.52620625
102.0,102.0,0.69202363
103.0,103.0,0.6544429
104.0,104.0,0.5720787
105.0,105.0,0.6975414
106.0,106.0,0.5734492
107.0,107.0,0.68286794
108.0,108.0,0.6539638
109.0,109.0,0.5664073
110.0,110.0,0.82972956
111.0,111.0,0.5519024
112.0,112.0,0.40810937
113.0,113.0,0.4482228
114.0,114.0,0.6908369
115.0,115.0,0.68449354
116.0,116.0,0.49655342
117.0,117.0,0.8357227
118.0,118.0,0.69631404
119.0,119.0,0.61028904
120.0,120.0,0.69926494
121.0,121.0,0.670068
122.0,122.0,0.64938504
123.0,123.0,0.68154687
124.0,124.0,0.69229466
125.0,125.0,0.65647143
126.0,126.0,0.65695745
127.0,127.0,0.66008085
128.0,128.0,0.5346933
129.0,129.0,0.69916123
130.0,130.0,0.46673453
131.0,131.0,0.66013855
132.0,132.0,0.59875375
133.0,133.0,0.6686569
134.0,134.0,0.6954123
135.0,135.0,0.67896605
136.0,136.0,0.8270271
137.0,137.0,0.48978633
138.0,138.0,0.6666591
139.0,139.0,0.6461875
140.0,140.0,0.5028841
141.0,141.0,0.4932954
142.0,142.0,0.70026803
143.0,143.0,0.6677469
144.0,144.0,0.5461598
145.0,145.0,0.6540357
146.0,146.0,0.67660344
147.0,147.0,0.69135624
148.0,148.0,0.6539156
149.0,149.0,0.6716545
150.0,150.0,0.66982734
151.0,151.0,0.676062
152.0,152.0,0.5275691
153.0,153.0,0.6465924
154.0,154.0,0.5931899
155.0,155.0,0.5794418
156.0,156.0,0.47915453
157.0,157.0,0.52131665
158.0,158.0,0.5469514
159.0,159.0,0.68739784
160.0,160.0,0.66114265
161.0,161.0,0.6532103
162.0,162.0,0.6385905
163.0,163.0,0.5415398
164.0,164.0,0.6564957
165.0,165.0,0.4594396
166.0,166.0,0.60345066
167.0,167.0,0.69735444
168.0,168.0,0.54699343
169.0,169.0,0.5564091
170.0,170.0,0.6910541
171.0,171.0,0.65820694
172.0,172.0,0.54604906
173.0,173.0,0.53852856
174.0,174.0,0.5651218
175.0,175.0,0.5169711
176.0,176.0,0.509468
177.0,177.0,0.6933841
178.0,178.0,0.43961614
179.0,179.0,0.58851427
180.0,180.0,0.61196357
181.0,181.0,0.66275585
182.0,182.0,0.57223856
183.0,183.0,0.6946437
184.0,184.0,0.5700611
185.0,185.0,0.6915635
186.0,186.0,0.6693229
187.0,187.0,0.6844855
188.0,188.0,0.49355766
189.0,189.0,0.4470058
190.0,190.0,0.6511861
191.0,191.0,0.4883005
192.0,192.0,0.45255914
193.0,193.0,0.6980911
194.0,194.0,0.54630256
195.0,195.0,0.5087191
196.0,196.0,0.6776982
197.0,197.0,0.6759282
198.0,198.0,0.5597066
199.0,199.0,0.5591728
200.0,200.0,0.68440115
201.0,201.0,0.6142801
202.0,202.0,0.7004176
203.0,203.0,0.50593835
204.0,204.0,0.5077659
205.0,205.0,0.60410786
206.0,206.0,0.8229115
207.0,207.0,0.66356206
208.0,208.0,0.6747229
209.0,209.0,0.49495357
210.0,210.0,0.6589116
211.0,211.0,0.68753916
212.0,212.0,0.5594508
213.0,213.0,0.4474187
214.0,214.0,0.5509911
215.0,215.0,0.6763605
216.0,216.0,0.707876
217.0,217.0,0.5402678
218.0,218.0,0.4610342
219.0,219.0,0.54699516
220.0,220.0,0.54508245
221.0,221.0,0.60338974
222.0,222.0,0.67328274
223.0,223.0,0.61471516
224.0,224.0,0.61658823
225.0,225.0,0.46659482
226.0,226.0,0.6840395
227.0,227.0,0.65593547
228.0,228.0,0.68523407
229.0,229.0,0.6897773
230.0,230.0,0.5024167
231.0,231.0,0.6048208
232.0,232.0,0.6717968
233.0,233.0,0.45320928
234.0,234.0,0.6275728
235.0,235.0,0.53630906
236.0,236.0,0.7008596
237.0,237.0,0.5447611
238.0,238.0,0.58786273
239.0,239.0,0.6892812
240.0,240.0,0.677813
241.0,241.0,0.55216616
242.0,242.0,0.5333764
243.0,243.0,0.652391
244.0,244.0,0.52675235
245.0,245.0,0.5595002
246.0,246.0,0.56775206
247.0,247.0,0.60858613
248.0,248.0,0.6108459
249.0,249.0,0.52720785
250.0,250.0,0.6686194
251.0,251.0,0.459474
252.0,252.0,0.5773013
253.0,253.0,0.6789932
254.0,254.0,0.69358134
255.0,255.0,0.6958286
256.0,256.0,0.7025789
257.0,257.0,0.5144307
258.0,258.0,0.707824
259.0,259.0,0.58996814
260.0,260.0,0.5942319
261.0,261.0,0.6662903
262.0,262.0,0.68948334
263.0,263.0,0.6602353
264.0,264.0,0.5491938
265.0,265.0,0.65600944
266.0,266.0,0.5690961
267.0,267.0,0.6655928
268.0,268.0,0.6817499
269.0,269.0,0.6538822
270.0,270.0,0.5370197
271.0,271.0,0.68323743
272.0,272.0,0.58385295
273.0,273.0,0.5441243
274.0,274.0,0.69405574
